FACILITY_ID,ON_GRID_AVL,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,URBAN,ON_GRID,EA,SOLAR_INC,SOLAR_ONL,DIESEL_INC,DIESEL_ONL,FACILITY_TYPE,cluster
2106001,0,0.17945705,0.17945705,9.3868704,9.3868704,0,1,1,0,0,1,0,3,0
2106002,0,4.9372234,4.9372234,14.202643,14.202643,0,0,0,0,0,0,0,1,6
2106003,0,1.3490804,1.3490804,9.8687515,9.9247828,0,0,0,0,0,0,0,1,6
2106004,0,1.4020457,1.4020457,8.1309614,8.1666393,0,0,0,0,0,0,0,1,6
2106005,0,5.7247334,5.7247334,5.7247334,4.993114,0,0,1,0,0,1,1,1,4
2106006,0,8.2985258,9.1559401,8.2985258,9.1559401,0,0,0,0,0,0,0,1,6
2106007,0,4.9593248,8.7238674,4.9593248,7.4212751,0,0,1,0,0,1,1,1,4
2107001,0,0.76855147,0.89063835,0.76855147,0.89063835,1,1,1,1,0,0,0,3,2
2107002,0,3.0148435,6.904696,5.916719,9.9941616,0,1,0,0,0,0,0,1,0
2107003,0,0.93699777,5.629128,5.629128,3.9466724,0,1,0,0,0,0,0,2,0
2107005,0,1.386627,3.3025138,3.3025138,1.386627,0,1,0,0,0,0,0,1,0
2107006,0,2.2833328,2.3418386,2.2833328,2.3418386,0,1,0,0,0,0,0,1,0
2107007,0,7.0881572,7.9456544,1.209491,7.9456544,0,1,0,0,0,0,0,1,0
2107008,0,9.1136093,9.1204433,9.1220903,18.511322,0,1,0,0,0,0,0,1,0
2107009,0,9.027298,9.4175558,9.1230764,17.800896,0,1,0,0,0,0,0,2,0
2107010,0,2.8022385,2.9887054,2.8022385,8.8176889,0,1,0,0,0,0,0,1,0
2108001,0,14.157461,42.39978,14.157461,4.1663914,0,0,0,0,0,0,0,1,6
2108002,0,11.800593,39.602413,11.800593,2.2604349,0,0,0,0,0,0,0,1,6
2108003,0,10.301584,39.630436,10.301584,0.39952391,0,0,1,0,0,1,1,1,4
2108004,0,7.6936646,37.701656,7.6936646,2.433929,0,0,0,0,0,0,0,1,6
2108005,0,8.0195866,28.482748,8.0195866,11.074293,0,0,1,1,1,0,0,1,1
2108006,0,1.0067884,32.62775,1.0067884,9.1067944,1,0,1,1,1,0,0,2,1
2108007,0,4.3032808,28.71863,4.3032808,11.364701,0,0,0,0,0,0,0,1,6
2108008,0,10.490875,34.569378,10.490875,6.8699803,0,0,0,0,0,0,0,1,6
2109001,0,47.609348,41.388882,18.588148,41.388882,0,0,1,0,0,1,1,1,4
2109002,0,21.377743,42.668278,17.524048,11.268672,0,0,1,0,0,1,1,1,4
2109003,0,19.737881,42.924892,19.315754,9.6534891,0,0,1,0,0,1,1,2,4
2109004,0,22.491932,41.598015,17.36602,12.382236,0,0,1,0,0,1,1,1,4
2109005,0,27.931923,36.298248,17.237135,17.82514,0,1,0,0,0,0,0,2,0
2109006,0,30.16547,30.16547,12.995453,27.427792,0,1,1,0,0,1,0,3,0
