PC 1,PC 2,cluster
-0.19,-1.007,1
-0.053,-1.0,1
0.044,-0.997,1
-0.078,-1.002,1
-0.319,-1.012,1
-0.259,-1.007,1
-0.111,-1.003,1
-0.198,-1.007,1
-0.051,-1.001,1
-0.018,-0.999,1
-0.187,-0.373,1
-0.041,-0.999,1
0.039,-0.996,1
-0.033,-1.0,1
0.037,-0.997,1
-0.094,-1.002,1
-0.137,-1.002,1
-0.145,-1.003,1
-0.171,-1.004,1
-0.133,-1.003,1
-0.145,-1.003,1
-0.03,-0.999,1
-0.059,-1.001,1
-0.328,-1.01,1
-0.25,-1.005,1
-0.418,-1.018,1
-0.37,-1.015,1
-0.342,-1.012,1
-0.155,-1.003,1
-0.123,-1.001,1
-0.004,-0.999,1
-0.293,-1.014,1
-0.1,-1.004,1
-0.128,-0.999,1
-0.105,-1.005,1
-0.1,-1.004,1
-0.337,-1.014,1
-0.582,-1.026,1
-0.61,-0.399,1
-0.32,-1.015,1
-0.223,-1.009,1
-0.394,-1.017,1
-0.226,-1.01,1
-0.284,-1.016,1
-0.383,-1.02,1
-0.249,-1.011,1
-0.319,-1.013,1
-0.189,-1.006,1
-0.316,-1.013,1
-0.371,-1.018,1
-0.38,-1.016,1
-0.174,-1.006,1
-0.674,-1.03,1
-0.406,-1.014,1
-0.035,-0.997,1
-0.225,-1.002,1
-0.01,-0.998,1
-0.181,-1.007,1
-0.21,-1.007,1
-0.217,-1.006,1
-0.219,-1.007,1
-0.227,-1.006,1
-0.227,-1.005,1
-0.194,-1.007,1
-0.048,-1.001,1
0.009,-0.997,1
-0.111,-1.004,1
0.009,-0.997,1
-0.009,-0.997,1
-0.099,-1.001,1
-0.138,-1.005,1
0.003,-0.995,1
-0.1,-0.999,1
-0.103,-0.998,1
-0.049,-0.996,1
-0.287,-1.011,1
-0.275,-1.011,1
-0.22,-1.006,1
-0.318,-0.382,1
-0.239,-1.003,1
-0.232,-1.005,1
-0.289,-1.008,1
-0.235,-1.008,1
0.131,-0.994,1
-0.206,-1.006,1
-0.285,-1.012,1
-0.209,-1.007,1
-0.261,-1.008,1
-0.161,-1.002,1
-0.226,-1.004,1
-0.142,-1.001,1
-0.162,-1.002,1
-0.078,-0.997,1
-0.237,-1.009,1
-0.218,-1.004,1
0.164,-0.994,1
0.154,-0.994,1
-0.23,-1.008,1
-0.347,-1.014,1
-0.295,-1.01,1
-0.334,-1.012,1
-0.325,-1.013,1
0.064,-0.994,1
-0.032,-0.999,1
-0.475,-1.019,1
-0.295,-1.01,1
-0.651,-1.029,1
-0.452,-1.021,1
-0.143,-1.004,1
-0.274,-1.015,1
-0.275,-1.014,1
-0.349,-1.017,1
-0.427,-1.021,1
-0.354,-1.015,1
-0.353,-1.015,1
-0.135,-1.004,1
-0.309,-1.012,1
-0.204,-1.007,1
0.11,-0.997,1
0.073,-0.994,1
0.066,-0.995,1
0.096,-0.994,1
0.083,-0.994,1
0.089,-0.994,1
0.061,-0.995,1
0.11,-0.992,1
0.093,-0.995,1
-0.118,-1.002,1
0.214,-0.985,1
0.254,-0.986,1
-0.061,-1.001,1
0.152,-0.989,1
0.055,-0.999,1
0.002,-1.0,1
-0.412,-1.018,1
-0.028,-0.367,1
0.121,-0.992,1
-0.36,-1.013,1
-0.262,-1.006,1
-0.33,-1.014,1
