FACILITY_ID,FACILITY_TYPE,URBAN,MIN_AIR_2015,MIN_AIR_2016,MIN_GROUND_2015,MIN_GROUND_2016,ON_GRID,ON_GRID_AVL,SOLAR_ONL,SOLAR_INC,DIESEL_ONL,DIESEL_INC
1118006,2,1,4,3,2,4,1,0,0,1,0,0
1118007,3,1,4,3,2,4,1,0,0,0,0,1
1118008,2,1,4,3,2,4,1,0,0,0,0,0
1118009,1,0,2,1,2,2,1,0,0,0,0,0
1118010,3,1,1,1,1,1,1,0,0,1,0,0
1118011,2,1,1,1,1,1,1,0,0,1,0,0
1118012,2,1,3,1,1,3,1,0,0,1,0,0
1118013,1,1,3,1,1,3,1,0,0,1,0,0
1118014,2,1,3,2,1,3,1,0,0,1,0,0
1118015,2,1,4,3,2,4,1,0,0,1,0,0
1118016,2,1,1,1,1,1,1,0,0,1,0,0
1118017,2,0,1,1,1,1,0,0,0,0,0,0
1118018,2,0,4,4,3,4,1,0,0,0,0,0
1118019,2,0,6,4,3,6,1,0,0,0,0,0
1118020,2,1,4,3,2,4,1,0,0,1,0,0
1119001,2,1,4,3,1,4,1,0,0,1,0,0
1119002,2,1,3,2,1,3,0,0,0,0,0,0
1119003,2,0,3,6,3,8,1,0,0,0,0,0
1119004,3,1,4,3,1,4,1,0,0,1,0,0
1119005,2,1,4,3,1,4,1,0,0,1,0,0
1119006,3,1,4,3,1,4,0,0,0,0,0,0
1119007,3,1,4,3,1,4,1,0,0,1,0,0
1119008,3,1,4,3,1,4,0,0,0,0,0,0
1119009,2,1,4,2,1,4,1,0,0,1,0,0
1119010,3,1,5,3,0,5,1,0,0,1,0,0
1119011,2,1,2,1,1,2,1,0,0,1,0,0
1119012,3,1,1,1,1,1,1,0,0,1,0,0
1119013,3,1,2,1,1,2,1,0,0,1,0,0
1119014,2,1,2,1,1,2,1,0,0,1,0,0
1119015,2,1,4,3,1,4,0,0,0,0,1,1
1119016,3,1,4,3,1,4,1,0,0,1,0,0
1119017,3,1,4,3,2,4,0,0,1,1,0,0
1119018,3,1,3,2,1,3,1,0,0,1,0,0
1120001,2,0,3,7,4,9,0,0,1,1,0,0
1120002,2,0,4,10,9,12,0,0,1,1,0,0
1120003,1,0,7,13,7,7,0,0,1,1,0,0
1120004,2,0,7,8,6,10,0,0,1,1,0,0
1120005,2,0,7,11,8,8,0,0,1,1,0,0
1120006,1,0,6,9,7,10,0,0,1,1,0,0
1120007,2,0,4,3,4,4,0,0,1,1,0,0
1120008,1,0,6,5,4,6,0,0,0,0,1,1
1120009,2,0,8,6,4,8,0,0,1,1,0,0
1120010,2,0,3,10,6,11,0,0,1,1,0,0
1120011,1,0,1,1,4,4,0,0,1,1,0,0
1120012,2,0,0,0,1,7,1,0,0,1,0,0
1120013,2,0,9,9,8,9,0,0,1,1,0,0
1201001,1,0,16,16,16,16,0,0,0,0,0,0
1201002,1,0,7,7,7,7,0,0,0,0,0,0
1201003,1,0,24,35,35,35,0,0,0,0,0,0
1201004,3,1,0,0,0,0,0,0,1,1,0,0
1201005,1,0,8,8,8,8,0,0,0,0,0,0
1201006,1,0,17,17,17,17,0,0,0,0,0,0
1201007,1,0,30,50,40,40,0,0,0,0,0,0
1201008,1,0,32,27,27,32,0,0,0,0,0,0
1201009,1,0,12,33,33,33,0,0,0,0,0,0
1202001,1,0,5,20,5,5,1,0,0,0,0,0
1202002,1,0,23,31,23,23,1,0,0,0,0,0
1202003,1,0,8,22,8,8,0,0,0,0,0,0
1202004,1,0,8,20,8,8,0,0,0,0,0,0
1202005,1,0,29,41,29,29,1,0,0,0,0,0
1202006,1,0,6,9,9,10,0,0,0,0,0,0
1202007,1,0,5,14,6,6,1,0,0,0,0,0
1202008,1,0,34,50,34,34,0,0,0,0,0,0
1202009,3,1,0,18,0,0,0,0,0,0,1,1
1202010,2,0,2,18,2,2,1,0,0,0,0,0
1202011,1,0,16,30,16,16,1,0,0,0,0,0
1202012,1,0,22,37,22,22,1,0,0,0,0,0
1203001,1,0,17,35,17,17,0,0,1,1,0,0
1203002,1,0,39,41,34,39,0,0,0,0,1,1
1203003,1,1,37,45,20,37,0,0,0,0,0,0
1203004,2,0,35,40,22,34,0,0,0,0,1,1
1203005,1,0,30,40,27,30,0,0,0,0,0,0
1204001,1,0,9,11,6,10,1,0,0,0,0,0
1204002,1,0,8,8,4,8,1,0,0,0,0,0
1204003,1,0,9,10,0,9,1,0,0,0,0,0
1204004,1,0,0,10,0,0,1,0,0,0,0,0
1204005,1,0,14,19,12,14,1,0,0,0,0,0
1204006,1,0,27,28,13,27,0,0,0,0,1,1
1204007,2,0,17,23,13,17,0,0,1,1,0,0
1204008,1,0,20,27,13,20,1,0,0,0,0,0
1204009,1,0,5,12,5,5,1,0,0,0,0,0
1204010,1,0,6,6,6,6,1,0,0,0,0,0
1204011,2,0,10,10,0,10,1,0,0,1,0,0
1204012,1,0,7,12,5,12,1,0,0,0,0,0
1204013,2,0,9,10,0,9,1,0,0,1,0,0
1204014,3,1,1,1,1,1,1,0,0,1,0,0
1204015,2,1,1,1,1,1,1,0,0,1,0,0
1204016,1,0,11,18,4,11,1,0,0,0,0,0
1204017,1,0,5,6,5,5,1,0,0,0,0,0
1204018,1,0,5,5,5,5,1,0,0,0,0,0
1204019,1,0,7,7,5,0,1,0,0,0,0,0
1204020,1,0,14,16,14,10,1,0,0,0,0,0
1204021,1,0,17,29,17,17,0,0,1,1,0,0
1204022,2,0,9,13,5,9,1,0,0,1,0,0
1204023,1,0,10,17,9,10,1,0,0,0,0,0
1204024,1,0,13,22,14,13,0,0,0,0,1,1
1204025,1,0,9,17,17,9,0,0,0,0,0,0
1204026,1,0,12,17,16,12,0,0,0,0,1,1
1205001,1,0,14,14,11,9,0,0,0,0,0,0
1205002,2,1,20,16,13,14,1,0,0,0,0,0
1205003,1,0,15,15,8,9,0,0,0,0,1,1
1205004,2,1,20,16,13,14,0,0,1,1,0,0
1205005,1,0,19,11,7,11,0,0,0,0,0,0
1205006,1,0,25,11,13,8,0,0,0,0,0,0
1206001,1,0,34,16,22,1,1,0,0,0,0,0
1206002,2,0,30,12,17,4,1,0,0,0,0,0
1206003,1,0,31,11,17,4,1,0,0,0,0,0
1206004,1,0,33,11,19,4,1,0,0,0,0,0
