FACILITY_ID;GOV;DISTRICT;FACILITY_TYPE;URBAN;MIN_AIR_2015;MIN_AIR_2016;MIN_GROUND_2015;MIN_GROUND_2016;ON_GRID;ON_GRID_AVL;SOLAR_ONL;SOLAR_INC;DIESEL_ONL;DIESEL_INC;cluster
1706009;Hajjah;Mustaba;1;0;6;5;6;8;0;0;0;0;0;0;6
2912004;Amran;Jabal Iyal Yazid;1;0;4;4;7;20;0;0;0;0;0;0;6
1725013;Hajjah;Ash Shaghadirah;1;0;3;12;12;12;0;0;0;0;0;0;6
2906004;Amran;Al Madan;1;0;3;14;15;15;0;0;0;0;0;0;6
1104017;Ibb;An Nadirah;1;0;10;14;10;12;0;0;0;0;0;0;6
1211021;Abyan;khanfir;1;0;17;4;4;4;1;0;0;0;0;0;0
1111016;Ibb;Al Udayn;1;0;10;10;9;10;0;0;0;0;0;0;6
3009008;Al-Dhala;Al Husha;2;0;6;8;6;6;0;0;0;0;0;0;6
2912001;Amran;Jabal Iyal Yazid;2;0;4;6;12;7;1;0;0;1;0;0;0
1211022;Abyan;khanfir;1;0;15;4;4;4;1;0;0;0;0;0;0
1206012;Abyan;Rosod;1;0;33;22;24;5;1;0;0;0;0;0;0
1204022;Abyan;Lawder;2;0;9;13;5;9;1;0;0;1;0;0;0
2503002;Lahj;Al Moflehi;3;0;31;10;20;7;1;0;0;1;0;0;0
1504014;Taiz;Sharab Ar Rawnah;1;0;7;10;10;7;0;0;0;0;0;0;6
1104013;Ibb;An Nadirah;2;0;2;7;2;11;0;0;0;0;0;0;6
2709009;Al-Mahweet;Al Mahwait;1;0;3;3;3;27;1;0;0;0;0;0;0
1806002;Al-Hodaida;Al Qanawis;1;0;21;6;6;23;0;0;0;0;0;0;6
1101016;Ibb;Al Qafr;1;0;5;7;5;7;1;0;0;0;0;0;0
1101027;Ibb;Al Qafr;1;0;14;14;14;14;0;0;0;0;0;0;6
1106011;Ibb;As Saddah;2;0;3;5;5;16;1;0;0;1;0;0;0
1816001;Al-Hodaida;Al Mansuriyah;1;0;14;14;15;39;0;0;0;0;0;0;6
2307015;Sana'a;Bani Matar;2;0;8;10;12;13;0;0;0;0;0;0;6
1410007;Al-baida;Al baida;1;0;4;7;0;4;1;0;0;0;0;0;0
1720008;Hajjah;Mabyan;1;0;3;9;9;9;0;0;0;0;0;0;6
