MIN_DISTANCE_AIRBORNE_2015,MIN_DISTANCE_AIRBORNE_2016,MIN_DISTANCE_GROUND_2015,MIN_DISTANCE_GROUND_2016,FACILITY_TYPE_MODELLED,ON_GRID_AVL,URBAN,ON_GRID,SOLAR_ONL,DIESEL_ONL,cluster
9.8148661,9.8148661,12.970362,8.5466948,1,False,False,False,False,False,0
6.8620167,6.8620167,10.375969,4.7041526,2,False,False,False,False,False,0
0.18288133,0.18288133,6.4101968,0.18288133,2,False,False,False,True,False,1
1.5507503,1.5507503,7.5849867,2.8130674,2,False,False,False,True,False,1
4.6558642,4.6558642,4.045887,4.6558642,2,False,False,False,False,False,0
2.2243502,2.2243502,2.8595731,8.0040865,2,False,True,True,False,False,2
3.6409664,5.3440251,5.3440251,7.6043086,2,False,False,False,True,False,1
3.899065,3.899065,3.899065,13.983016,1,False,True,False,False,False,2
2.703999,2.703999,2.703999,12.507461,1,False,True,True,False,False,2
0.27410462,0.27410462,0.27410462,10.650708,2,False,True,True,False,False,2
2.7260613,2.7260613,2.7260613,10.090614,2,False,False,False,False,True,4
0.060278125,3.1542299,3.1542299,7.7626719,1,False,True,True,False,False,2
8.4496317,8.4496317,8.5874319,12.051995,2,False,False,True,False,False,0
10.457474,10.457474,10.457474,10.722327,1,False,False,False,False,False,0
9.0091572,9.0091572,9.0091572,14.71931,1,False,False,False,False,False,0
9.415041,3.2748556,13.69423,10.935826,1,False,False,False,False,True,4
5.5625086,5.5625086,5.5625086,13.922852,2,False,False,False,False,True,4
0.2924999,0.2924999,0.2924999,7.9439807,2,False,True,True,False,False,2
1.0026864,1.0026864,1.0026864,8.6307135,2,False,True,True,False,False,2
0.18099952,0.18099952,0.18099952,7.8180323,2,False,True,True,False,False,2
0.67813617,0.67813617,0.67813617,8.357748,2,False,True,True,False,False,2
0.96771812,0.96771812,0.96771812,8.6771927,2,False,True,True,False,False,2
0.55768925,0.55768925,0.55768925,8.0533953,2,False,True,False,False,False,2
0.79747885,0.79747885,0.79747885,8.4727993,3,False,True,False,True,False,1
0.31785047,0.31785047,6.5247207,13.408492,3,False,True,True,False,False,2
8.5573673,8.3391266,8.3391266,8.3391266,1,False,False,True,False,False,0
10.03929,10.03929,11.572625,11.572625,2,False,False,True,False,False,0
4.3809223,4.3809223,4.3809223,12.130029,1,False,False,True,False,False,0
3.7923956,3.7923956,9.5964117,14.006104,1,False,False,True,False,False,0
4.1662903,4.1662903,10.215374,12.739132,2,False,False,True,False,False,0
9.7744837,5.1983323,5.1983323,5.1983323,2,False,False,True,False,False,0
8.8932619,8.8932619,10.397795,10.397795,1,False,False,True,False,False,0
7.6171193,7.6171193,10.275064,10.275064,2,False,False,True,False,False,0
5.8364425,5.8364425,10.824022,11.175623,1,False,False,True,False,False,0
9.6196146,7.9698758,7.9698758,7.9698758,1,False,False,True,False,False,0
5.5689745,10.848714,5.5689745,2.8160257,2,False,False,True,False,False,0
6.5840273,11.317566,6.5840273,2.8201265,2,False,False,True,False,False,0
6.5840273,11.317566,6.5840273,2.8201265,1,False,False,True,False,False,0
11.426481,3.577292,3.577292,3.577292,1,False,False,True,False,False,0
9.9171076,0.84259093,0.84259093,0.84259093,3,False,True,True,False,False,2
8.76126,4.7538166,4.7538166,4.7538166,1,False,False,True,False,False,0
11.693008,2.6803823,2.6803823,2.6803823,1,False,False,True,False,False,0
11.078609,5.4098511,5.4098511,5.4098511,2,False,False,True,False,False,0
10.125247,7.4748564,7.4748564,5.6192999,1,False,False,True,False,False,0
12.872979,8.8282309,8.8282309,7.7049899,2,False,False,True,False,False,0
13.04264,7.1340666,7.1340666,7.1340666,1,False,False,True,False,False,0
13.609014,5.5296168,5.5296168,5.5296168,2,False,False,True,False,False,0
10.641497,8.5064392,8.5064392,5.6477704,1,False,False,True,False,False,0
10.446869,2.137727,2.137727,2.137727,1,False,False,True,False,False,0
8.7064219,1.1016077,1.1016077,1.1016077,1,False,False,True,False,False,0
0.34395018,0.34395018,0.34395018,0.34395018,2,False,True,True,False,False,2
4.4095058,3.298564,2.3040841,4.4095058,3,False,True,False,True,False,1
3.5347817,2.4672251,1.4254282,3.5347817,3,False,True,True,False,False,2
1.4658127,0.27428937,1.4658127,1.4658127,3,False,True,True,False,False,2
4.4106317,3.2926846,2.3314278,4.4106317,2,False,True,False,True,False,1
3.8480642,2.7160256,1.9185778,3.8480642,2,False,True,True,False,False,2
3.6709974,2.551523,1.7228541,3.6709974,3,False,True,True,False,False,2
3.6463006,2.5259507,1.7079688,3.6463006,2,False,True,True,False,False,2
2.1590507,1.3329302,2.1590507,2.1590507,1,False,False,True,False,False,0
1.2707933,0.50997305,1.2707933,1.2707933,3,False,True,True,False,False,2
0.57017094,0.57017094,0.57017094,0.57017094,2,False,True,True,False,False,2
2.565999,1.4573474,1.0917393,2.565999,2,False,True,True,False,False,2
2.5202422,1.412589,1.0814073,2.5202422,1,False,True,True,False,False,2
3.4323235,2.3614008,1.359725,3.4323235,2,False,True,True,False,False,2
3.8509634,2.7559273,1.768838,3.8509634,2,False,True,True,False,False,2
0.99338168,0.62481475,0.99338168,0.99338168,2,False,True,True,False,False,2
1.0166787,1.0166787,1.0166787,1.0166787,2,False,False,False,False,False,0
4.1495275,3.9465897,2.9442821,4.1495275,2,False,False,True,False,False,0
